,id.bioguide,handle,name.last,chamber,party,district,inc_ran,inc_won,had_challenger,inc_party,winner_party,runnerup_party,runnerup_votes,winner_votes,closeness,week,avg_score
18,B001260,vernbuchanan,Buchanan,rep,Republican,16.0,1,1,1,R,R,D,155262.0,230654.0,0.195358575441,1,0.426322041
19,B001275,replarrybucshon,Bucshon,rep,Republican,8.0,1,1,1,R,R,D,93356.0,187702.0,0.335681603085,1,4.099385
20,B001248,michaelcburgess,Burgess,rep,Republican,26.0,1,1,1,R,R,D,94507.0,211730.0,0.382785228434,1,3.17226385714
21,B001251,gkbutterfield,Butterfield,rep,Democrat,1.0,1,1,1,D,D,R,101567.0,240661.0,0.406436644576,1,-31.201828
22,C000059,kencalvert,Calvert,rep,Republican,42.0,1,1,1,R,R,D,104689.0,149547.0,0.176442360641,1,
23,C001036,reploiscapps,Capps,rep,Democrat,24.0,0,0,0,D,D,D,144780.0,166034.0,0.0683817331266,1,-33.196006
24,C001037,repmikecapuano,Capuano,rep,Democrat,7.0,1,1,1,D,D,Write in,3557.0,253354.0,0.972309476823,1,
25,C001083,johncarneyde,Carney,rep,Democrat,0.0,1,1,1,D,D,R,172301.0,233554.0,0.150923359328,1,-40.971865
26,C001072,repandrecarson,Carson,rep,Democrat,7.0,1,1,1,D,D,R,94456.0,158739.0,0.25388732005,1,-0.34211
27,C001051,judgecarter,Carter,rep,Republican,31.0,1,1,1,R,R,D,103852.0,166060.0,0.230475117816,1,2.2245066
28,C001066,usrepkcastor,Castor,rep,Democrat,14.0,1,1,1,D,D,R,121088.0,195789.0,0.235741312875,1,-44.1565445714
29,C000266,repstevechabot,Chabot,rep,Republican,1.0,1,1,1,R,R,D,144644.0,210014.0,0.184318413796,1,9.609916
30,C001076,jasoninthehouse,Chaffetz,rep,Republican,3.0,1,1,1,R,R,D,75716.0,209589.0,0.469227668635,1,2.89206625
31,C001080,repjudychu,Chu,rep,Democrat,27.0,1,1,1,D,D,R,81655.0,168977.0,0.348407226531,1,-45.849572175
32,C001084,repcicilline,Cicilline,rep,Democrat,1.0,1,1,1,D,D,R,71023.0,130534.0,0.295256428703,1,-70.6032578
33,C001067,yvetteclarke,Clarke,rep,Democrat,9.0,1,1,1,D,D,C,17576.0,214189.0,0.848329126486,1,
34,C001049,,Clay,rep,Democrat,1.0,1,1,1,D,D,R,62714.0,236993.0,0.581497929645,1,
35,C001061,repcleaver,Cleaver,rep,Democrat,5.0,1,1,1,D,D,R,123771.0,190766.0,0.21299560942,1,-6.3020876
36,C000537,clyburn,Clyburn,rep,Democrat,6.0,1,1,1,D,D,R,70099.0,177947.0,0.43479032115,1,-0.957143
37,C001077,repmikecoffman,Coffman,rep,Republican,6.0,1,1,1,R,R,D,160372.0,191626.0,0.0887902772175,1,1.30064863333
38,C001068,repcohen,Cohen,rep,Democrat,9.0,1,1,1,D,D,R,41123.0,171631.0,0.613422074321,1,-11.3916245
39,C001053,tomcoleok04,Cole,rep,Republican,4.0,1,1,1,R,R,D,76472.0,204143.0,0.454968551218,1,-0.927027
40,C001062,conawaytx11,Conaway,rep,Republican,11.0,1,1,1,R,R,L,23677.0,201871.0,0.790049124798,1,
41,C001078,gerryconnolly,Connolly,rep,Democrat,11.0,1,1,0,D,D,Write in,34185.0,247818.0,0.757555770683,1,-0.422923
42,C000714,repjohnconyers,Conyers,rep,Democrat,13.0,1,1,1,D,D,R,40541.0,198771.0,0.6611870696,1,-45.93528
43,C000754,repjimcooper,Cooper,rep,Democrat,5.0,1,1,1,D,D,R,102433.0,171111.0,0.25106746995,1,-6.70001
44,C001059,repjimcosta,Costa,rep,Democrat,16.0,1,1,1,D,D,R,70483.0,97473.0,0.160696849175,1,-1.859375
45,C001069,repjoecourtney,Courtney,rep,Democrat,2.0,1,1,1,D,D,R,111149.0,208818.0,0.305247103608,1,-51.782812
46,C001087,reprickcrawford,Crawford,rep,Republican,1.0,1,1,1,R,R,L,57181.0,183866.0,0.525561405037,1,-1.03017
47,C001045,andercrenshaw,Crenshaw,rep,Republican,4.0,1,1,1,R,R,D,113088.0,287509.0,0.435402661528,1,
48,C001038,repjoecrowley,Crowley,rep,Democrat,14.0,1,1,1,D,D,R,30545.0,147587.0,0.657052073743,1,-56.2635633333
49,C001063,repcuellar,Cuellar,rep,Democrat,28.0,1,1,1,D,D,R,57740.0,122086.0,0.357823673996,1,
50,C001048,congculberson,Culberson,rep,Republican,7.0,1,1,1,R,R,D,111991.0,143542.0,0.12347133247,1,2.04935525
51,C000984,repcummings,Cummings,rep,Democrat,7.0,1,1,1,D,D,R,69556.0,238838.0,0.548914700027,1,-23.2187321667
52,D000096,repdannydavis,Davis,rep,Democrat,7.0,1,1,1,D,D,R,46882.0,250584.0,0.684790866855,1,
53,D000598,repsusandavis,Davis,rep,Democrat,53.0,1,1,1,D,D,R,97968.0,198988.0,0.340185077924,1,0.22791073
54,D000191,reppeterdefazio,DeFazio,rep,Democrat,4.0,1,1,1,D,D,R,157743.0,220628.0,0.166199312315,1,-0.927027
55,D000197,repdianadegette,DeGette,rep,Democrat,1.0,1,1,1,D,D,R,105030.0,257254.0,0.420178644378,1,-32.2668694
56,D000216,rosadelauro,DeLauro,rep,Democrat,3.0,1,1,1,D,D,R,95786.0,213572.0,0.380743345897,1,-55.30362
57,D000612,repjeffdenham,Denham,rep,Republican,10.0,1,1,1,R,R,D,116470.0,124671.0,0.0340091481747,1,4.20758666667
58,D000604,,Dent,rep,Republican,15.0,1,1,1,R,R,D,124129.0,190618.0,0.211245857784,1,
59,D000616,desjarlaistn04,DesJarlais,rep,Republican,4.0,1,1,1,R,R,D,89141.0,165796.0,0.30068212931,1,2.0081132
60,D000610,repteddeutch,Deutch,rep,Democrat,21.0,1,1,1,D,D,R,118038.0,210606.0,0.281666484098,1,-18.345085
61,D000600,mariodb,Diaz-Balart,rep,Republican,25.0,1,1,1,R,R,D,95319.0,157921.0,0.247204233139,1,1.30864966667
62,D000399,replloyddoggett,Doggett,rep,Democrat,35.0,1,1,1,D,D,R,62384.0,124612.0,0.332777171704,1,-1.37229
63,D000482,usrepmikedoyle,Doyle,rep,Democrat,14.0,1,1,1,D,D,R,87999.0,255293.0,0.487322745651,1,
64,D000614,repseanduffy,Duffy,rep,Republican,7.0,1,1,1,R,R,D,138643.0,223418.0,0.234145627394,1,5.45044123
65,D000615,repjeffduncan,Duncan,rep,Republican,3.0,1,1,1,R,R,D,72933.0,196325.0,0.458266792444,1,3.04595333333
66,D000533,repjohnduncanjr,Duncan,rep,Republican,2.0,1,1,1,R,R,D,68401.0,212455.0,0.512910530663,1,0.694593
67,E000290,repdonnaedwards,Edwards,rep,Democrat,4.0,0,0,0,D,D,R,68670.0,237501.0,0.551427143655,1,-56.44879
68,E000288,keithellison,Ellison,rep,Democrat,5.0,1,1,1,D,D,R,80660.0,249964.0,0.512074138599,1,-3.2186025
69,E000291,repreneeellmers,Ellmers,rep,Republican,2.0,1,1,1,R,R,D,169082.0,221485.0,0.134171601799,1,9.5557755
70,E000179,repeliotengel,Engel,rep,Democrat,16.0,1,1,1,D,D,PC,11825.0,209857.0,0.893315650346,1,-33.3169701429
71,E000215,repannaeshoo,Eshoo,rep,Democrat,18.0,1,1,1,D,D,R,93470.0,230460.0,0.422900009261,1,-0.927027
72,F000460,farenthold,Farenthold,rep,Republican,27.0,1,1,1,R,R,D,88329.0,142251.0,0.233853760083,1,2.616645
73,F000030,repsamfarr,Farr,rep,Democrat,20.0,0,0,0,D,D,R,74811.0,180980.0,0.415061515065,1,-41.9162438571
74,F000458,repfinchertn08,Fincher,rep,Republican,8.0,0,0,0,R,R,D,70925.0,194386.0,0.465344444821,1,
75,F000451,repfitzpatrick,Fitzpatrick,rep,Republican,8.0,1,1,1,R,R,D,173555.0,207263.0,0.0885147235687,1,0.967105
76,F000459,repchuck,Fleischmann,rep,Republican,3.0,1,1,1,R,R,D,76727.0,176613.0,0.394276466409,1,0.578167666667
77,F000456,repfleming,Fleming,rep,Republican,4.0,0,0,0,R,D,R,70580.0,80593.0,0.0662353727187,1,
78,F000461,repbillflores,Flores,rep,Republican,17.0,1,1,1,R,R,D,86603.0,149417.0,0.266138462842,1,14.664725
79,F000445,randy_forbes,Forbes,rep,Republican,4.0,0,0,0,R,D,R,145731.0,200136.0,0.157300349556,1,
80,F000449,jefffortenberry,Fortenberry,rep,Republican,1.0,1,1,1,R,R,D,83467.0,189771.0,0.389052767185,1,
81,F000450,virginiafoxx,Foxx,rep,Republican,5.0,1,1,1,R,R,D,147887.0,207625.0,0.168033709129,1,1.93421
82,F000448,reptrentfranks,Franks,rep,Republican,8.0,1,1,1,R,R,G,93954.0,204942.0,0.371326481452,1,1.665319872
83,F000372,usreprodney,Frelinghuysen,rep,Republican,11.0,1,1,1,D,D,R,130162.0,194299.0,0.197672447536,1,1.90977416667
84,F000455,repmarciafudge,Fudge,rep,Democrat,11.0,1,1,1,D,D,R,59769.0,242917.0,0.605075887223,1,-11.885584
85,G000559,repgaramendi,Garamendi,rep,Democrat,3.0,1,1,1,D,D,R,104453.0,152513.0,0.187028634138,1,-1.0651865
86,G000548,repgarrett,Garrett,rep,Republican,5.0,1,1,1,D,D,R,157690.0,172587.0,0.045104563745,1,0.089041
87,G000563,repbobgibbs,Gibbs,rep,Republican,7.0,1,1,1,R,R,D,89638.0,198221.0,0.377208980786,1,7.1224975
88,G000564,repchrisgibson,Gibson,rep,Republican,19.0,0,0,0,R,R,D,141224.0,166171.0,0.0811561671465,1,
89,G000552,replouiegohmert,Gohmert,rep,Republican,1.0,1,1,1,R,R,D,62847.0,192434.0,0.507624930958,1,1.81380833333
90,G000289,repgoodlatte,Goodlatte,rep,Republican,6.0,1,1,1,R,R,D,112170.0,225471.0,0.335566474451,1,9.56565
91,G000565,repgosar,Gosar,rep,Republican,4.0,1,1,1,R,R,D,81296.0,203487.0,0.42906704403,1,
92,G000566,tgowdysc,Gowdy,rep,Republican,4.0,1,1,1,R,R,D,91676.0,198648.0,0.368457309764,1,1.37997
93,G000377,repkaygranger,Granger,rep,Republican,12.0,1,1,1,R,R,D,76029.0,196482.0,0.442011515131,1,
94,G000546,repsamgraves,Graves,rep,Republican,6.0,1,1,1,R,R,D,99692.0,238388.0,0.410246095599,1,1.37997
95,G000560,reptomgraves,Graves,rep,Republican,14.0,1,1,1,R,R,NONE,0.0,216743.0,1.0,1,0.965604166667
96,G000553,repalgreen,Green,rep,Democrat,9.0,1,1,1,D,D,R,36491.0,152032.0,0.61287482164,1,-1.37229
97,G000410,repgenegreen,Green,rep,Democrat,29.0,1,1,1,D,D,R,31646.0,95649.0,0.502792725559,1,-4.41448
98,G000568,repmgriffith,Griffith,rep,Republican,9.0,1,1,1,R,R,D,87877.0,212838.0,0.415546281363,1,0.852349
99,G000551,repraulgrijalva,Grijalva,rep,Democrat,3.0,1,1,0,D,D,write in,2062.0,148973.0,0.972695070679,1,-25.184695
100,G000558,repguthrie,Guthrie,rep,Republican,2.0,1,1,0,R,R,NONE,0.0,251825.0,1.0,1,20.8955
101,G000535,luisgutierrez,Gutiérrez,rep,Democrat,4.0,1,1,0,D,D,NONE,0.0,171297.0,1.0,1,
102,H001051,reprichardhanna,Hanna,rep,Republican,22.0,0,0,0,R,R,D,114266.0,129444.0,0.0622789380821,1,
103,H001045,greggharper,Harper,rep,Republican,3.0,1,1,1,R,R,D,96101.0,209490.0,0.371048231132,1,1.7047
104,H001052,repandyharrismd,Harris,rep,Republican,1.0,1,1,1,R,R,D,103622.0,242574.0,0.401368011184,1,0.528073
105,H001053,rephartzler,Hartzler,rep,Republican,4.0,1,1,1,R,R,D,92510.0,225348.0,0.417916176406,1,2.331877
106,H000324,rephastingsfl,Hastings,rep,Democrat,20.0,1,1,1,D,D,R,54646.0,222914.0,0.606240092232,1,
107,H001055,repjoeheck,Heck,rep,Republican,3.0,1,1,1,D,D,R,142926.0,146869.0,0.0136061698787,1,0.757465666667
108,H001036,rephensarling,Hensarling,rep,Republican,5.0,1,1,1,R,R,L,37406.0,155469.0,0.61212184057,1,12.34627
109,H001056,herrerabeutler,Herrera Beutler,rep,Republican,3.0,1,1,1,R,R,D,119820.0,193457.0,0.235053961829,1,
110,H001038,repbrianhiggins,Higgins,rep,Democrat,26.0,1,1,1,D,D,R,73377.0,215289.0,0.491613144603,1,-5.5334046
111,H001047,jahimes,Himes,rep,Democrat,4.0,1,1,1,D,D,R,125724.0,187811.0,0.198022549317,1,-3.37633666667
112,H000636,usreprhinojosa,Hinojosa,rep,Democrat,15.0,1,1,1,D,D,R,66877.0,101712.0,0.206626766871,1,-4.53997
113,H001034,repmikehonda,Honda,rep,Democrat,17.0,1,0,1,D,D,D,90924.0,142268.0,0.2201790799,1,-29.1321933333
114,H000874,whiphoyer,Hoyer,rep,Democrat,5.0,1,1,1,D,D,R,105931.0,242989.0,0.392806373954,1,-53.8948078333
115,H001057,conghuelskamp,Huelskamp,rep,Republican,1.0,0,0,0,R,R,I,67739.0,169992.0,0.430120598492,1,3.18941
116,H001058,rephuizenga,Huizenga,rep,Republican,2.0,1,1,1,R,R,D,110391.0,212508.0,0.31625059229,1,5.573604
117,H001059,rephultgren,Hultgren,rep,Republican,14.0,1,1,1,R,R,D,137589.0,200508.0,0.1860974809,1,6.98519
118,H001048,rep_hunter,Hunter,rep,Republican,50.0,1,1,1,R,R,D,103646.0,179937.0,0.269025294182,1,
119,H001060,reproberthurt,Hurt,rep,Republican,5.0,0,0,0,R,R,D,148339.0,207758.0,0.166861838207,1,0.9958475
120,I000057,repsteveisrael,Israel,rep,Democrat,3.0,1,1,1,D,D,R,152304.0,171775.0,0.0600810296255,1,-51.0455711667
121,I000056,darrellissa,Issa,rep,Republican,49.0,1,1,1,R,R,R,154267.0,155888.0,0.00522641904854,1,
122,J000032,jacksonleetx18,Jackson Lee,rep,Democrat,18.0,1,1,1,D,D,R,48306.0,150157.0,0.513198933806,1,-71.330952
123,J000290,replynnjenkins,Jenkins,rep,Republican,2.0,1,1,1,R,R,D,96840.0,181228.0,0.303479724384,1,4.99081666667
124,J000292,repbilljohnson,Johnson,rep,Republican,6.0,1,1,1,R,R,D,88780.0,213975.0,0.413519182177,1,3.22191033333
125,J000126,repebj,Johnson,rep,Democrat,30.0,1,1,1,D,D,R,41518.0,170502.0,0.608357702104,1,-41.81952
126,J000288,rephankjohnson,Johnson,rep,Democrat,4.0,1,1,1,D,D,R,70593.0,220146.0,0.514389194432,1,-60.973338
127,J000174,samspressshop,Johnson,rep,Republican,3.0,1,1,1,R,R,D,109420.0,193684.0,0.278003589527,1,
128,J000255,repwalterjones,Jones,rep,Republican,3.0,1,1,1,R,R,D,106170.0,217531.0,0.34402426931,1,1.42218
129,J000289,jim_jordan,Jordan,rep,Republican,4.0,1,1,1,R,R,D,98981.0,210227.0,0.359777237329,1,
130,K000009,repmarcykaptur,Kaptur,rep,Democrat,9.0,1,1,1,D,D,R,88427.0,193966.0,0.373730935257,1,-5.069555
131,K000375,usrepkeating,Keating,rep,Democrat,9.0,1,1,1,D,D,R,127803.0,211790.0,0.247316640802,1,-2.22471725
132,K000376,mikekellypa,Kelly,rep,Republican,3.0,1,1,0,R,R,NONE,244893.0,271098.0,0.0507857695192,1,2.2778418
133,K000188,repronkind,Kind,rep,Democrat,3.0,1,1,0,D,D,Write in,169.0,257401.0,0.998687735373,1,
134,K000210,reppeteking,King,rep,Republican,2.0,1,1,1,R,R,D,110938.0,181506.0,0.241304318092,1,0.024945
135,K000362,stevekingia,King,rep,Republican,4.0,1,1,1,R,R,D,142993.0,226719.0,0.226462760203,1,0.884615
136,K000378,repkinzinger,Kinzinger,rep,Republican,16.0,1,1,0,R,R,write in,131.0,259722.0,0.998991737636,1,1.44181
137,K000363,repjohnkline,Kline,rep,Republican,2.0,0,0,0,R,R,D,167315.0,173970.0,0.0194998315191,1,
138,L000573,raul_labrador,Labrador,rep,Republican,1.0,1,1,1,R,R,D,113052.0,242252.0,0.363632269831,1,
139,L000564,repdlamborn,Lamborn,rep,Republican,5.0,1,1,1,R,R,D,111676.0,225445.0,0.33747230223,1,5.9655952
140,L000567,replancenj7,Lance,rep,Republican,7.0,1,1,1,R,R,D,148188.0,185850.0,0.112747651465,1,8.19672
141,L000559,jimlangevin,Langevin,rep,Democrat,2.0,1,1,1,D,D,R,70301.0,133108.0,0.308771981574,1,-16.3493820133
142,L000560,repricklarsen,Larsen,rep,Democrat,2.0,1,1,1,D,D,R,117094.0,208314.0,0.280325007375,1,-1.21405
143,L000557,repjohnlarson,Larson,rep,Democrat,1.0,1,1,1,D,D,R,105674.0,200686.0,0.310131871001,1,-35.96578675
144,L000566,boblatta,Latta,rep,Republican,5.0,1,1,1,R,R,D,100392.0,244599.0,0.418002208753,1,1.37997
145,L000551,repbarbaralee,Lee,rep,Democrat,13.0,1,1,1,D,D,R,29754.0,293117.0,0.815691096444,1,-55.1177316667
146,L000263,repsandylevin,Levin,rep,Democrat,9.0,1,1,1,D,D,R,128937.0,199661.0,0.215229551002,1,-66.2906333333
147,L000287,repjohnlewis,Lewis,rep,Democrat,5.0,1,1,1,D,D,R,46768.0,253781.0,0.688782860698,1,-2.34646
148,L000563,replipinski,Lipinski,rep,Democrat,3.0,1,1,0,D,D,write in,91.0,225320.0,0.999192585987,1,-4.13604
149,L000554,replobiondo,LoBiondo,rep,Republican,2.0,1,1,1,R,R,D,110838.0,176338.0,0.228083126724,1,1.545343
150,L000565,daveloebsack,Loebsack,rep,Democrat,2.0,1,1,1,D,D,R,170933.0,198571.0,0.0747975664675,1,1.37997
151,L000397,repzoelofgren,Lofgren,rep,Democrat,19.0,1,1,1,D,D,R,64061.0,181802.0,0.47888864937,1,-47.4659
152,L000576,usreplong,Long,rep,Republican,7.0,1,1,1,R,R,D,92756.0,228692.0,0.422886438864,1,18.2162375
153,L000480,nitalowey,Lowey,rep,Democrat,17.0,1,1,0,D,D,NONE,0.0,214530.0,1.0,1,-1.29884033333
154,L000491,repfranklucas,Lucas,rep,Republican,3.0,1,1,1,R,R,D,63090.0,227525.0,0.565817318445,1,
155,L000569,repblainepress,Luetkemeyer,rep,Republican,3.0,1,1,1,R,R,D,102891.0,249865.0,0.416644933042,1,6.0062275
156,L000570,repbenraylujan,Luján,rep,Democrat,3.0,1,1,1,D,D,R,102730.0,170612.0,0.248340906264,1,
157,L000571,cynthialummis,Lummis,rep,Republican,0.0,1,1,1,R,R,D,75466.0,156176.0,0.34842558776,1,0.94139
158,L000562,repstephenlynch,Lynch,rep,Democrat,8.0,1,1,1,D,D,R,102744.0,271019.0,0.45021845394,1,-2.81029233333
159,M000087,repmaloney,Maloney,rep,Democrat,12.0,1,1,1,D,D,R,49398.0,244358.0,0.663680061003,1,-49.4737466667
160,M001158,repkenmarchant,Marchant,rep,Republican,24.0,1,1,1,R,R,D,108389.0,154845.0,0.176481761475,1,-0.927027
161,M001179,reptommarino,Marino,rep,Republican,10.0,1,1,1,R,R,D,89823.0,211282.0,0.403377559323,1,2.5538586
162,M001163,dorismatsui,Matsui,rep,Democrat,6.0,1,1,1,D,D,R,57848.0,177565.0,0.508540310008,1,-35.5337528333
163,M001165,gopleader,McCarthy,rep,Republican,23.0,1,1,1,R,R,D,74468.0,167116.0,0.38350221869,1,8.27564775
164,M001157,repmccaul,McCaul,rep,Republican,10.0,1,1,1,R,R,D,120170.0,179221.0,0.197237057894,1,8.9792262
165,M001177,repmcclintock,McClintock,rep,Republican,4.0,1,1,1,R,R,D,130845.0,220133.0,0.254397711537,1,0.967105
166,M001143,bettymccollum04,McCollum,rep,Democrat,4.0,1,1,1,D,D,R,121032.0,203299.0,0.253651362343,1,-56.669016
167,M000404,repjimmcdermott,McDermott,rep,Democrat,7.0,1,1,1,D,D,D,166744.0,212010.0,0.119512929236,1,2.65374
168,M000312,repmcgovern,McGovern,rep,Democrat,2.0,1,1,1,D,D,write in,4924.0,275487.0,0.964880122392,1,-50.8411024286
169,M001156,patrickmchenry,McHenry,rep,Republican,10.0,1,1,1,R,R,D,128919.0,220825.0,0.262780776797,1,7.0897715
170,M001180,repmckinley,McKinley,rep,Republican,1.0,1,1,1,R,R,D,73534.0,163469.0,0.37946777045,1,7.30680142857
171,M001159,cathymcmorris,McMorris Rodgers,rep,Republican,5.0,1,1,1,R,R,D,130575.0,192959.0,0.192820538181,1,7.926215
172,M001166,repmcnerney,McNerney,rep,Democrat,9.0,1,1,1,D,D,R,98992.0,133163.0,0.147190454653,1,-1.74588183333
173,M001181,repmeehan,Meehan,rep,Republican,7.0,1,1,1,R,R,D,153824.0,225678.0,0.189337605599,1,2.089795
174,M001137,gregorymeeks,Meeks,rep,Democrat,5.0,1,1,1,D,D,R,30312.0,199815.0,0.736562854424,1,-36.36743475
175,M000689,,Mica,rep,Republican,7.0,1,1,1,D,D,R,171583.0,182039.0,0.0295682960902,1,
176,M001150,candicemiller,Miller,rep,Republican,10.0,0,0,0,R,R,D,110112.0,215132.0,0.322896041126,1,1.678195
177,M001144,,Miller,rep,Republican,1.0,0,0,0,R,D,R,114079.0,255107.0,0.381997150488,1,
178,M001160,repgwenmoore,Moore,rep,Democrat,4.0,1,1,1,D,D,I,33494.0,220181.0,0.735929831477,1,-15.4942825
179,M001182,repmickmulvaney,Mulvaney,rep,Republican,5.0,1,1,1,R,R,D,105772.0,161669.0,0.20900684637,1,4.83552
180,M001151,reptimmurphy,Murphy,rep,Republican,18.0,1,1,1,R,R,NONE,0.0,293684.0,1.0,1,5.071618
181,N000002,repjerrynadler,Nadler,rep,Democrat,10.0,1,1,1,D,D,R,53857.0,192371.0,0.562543658723,1,-15.8630785
182,N000179,gracenapolitano,Napolitano,rep,Democrat,32.0,1,1,1,D,D,D,71720.0,114926.0,0.231486343131,1,-24.307293
183,N000015,reprichardneal,Neal,rep,Democrat,1.0,1,1,1,D,D,I,57504.0,235803.0,0.607892072129,1,
184,N000182,randyneugebauer,Neugebauer,rep,Republican,19.0,1,1,1,R,R,L,17376.0,176314.0,0.820579276163,1,
185,N000184,repkristinoem,Noem,rep,Republican,0.0,1,1,1,R,R,D,132810.0,237163.0,0.282055717579,1,3.14480125
186,N000185,reprichnugent,Nugent,rep,Republican,11.0,1,1,1,R,R,D,124713.0,258016.0,0.348296052821,1,
187,N000181,rep_devinnunes,Nunes,rep,Republican,22.0,1,1,1,R,R,D,76211.0,158755.0,0.351301890486,1,
188,O000168,reppeteolson,Olson,rep,Republican,22.0,1,1,1,R,R,D,123679.0,181864.0,0.190431461366,1,4.542934
189,P000601,congpalazzo,Palazzo,rep,Republican,4.0,1,1,1,R,R,D,77505.0,181323.0,0.40110807177,1,2.77932
190,P000034,frankpallone,Pallone,rep,Democrat,6.0,1,1,1,D,D,R,91908.0,167895.0,0.292479301625,1,-8.5885123585
191,P000096,billpascrell,Pascrell,rep,Democrat,9.0,1,1,1,D,D,R,65376.0,162642.0,0.426571586454,1,-2.87143
192,P000594,reperikpaulsen,Paulsen,rep,Republican,3.0,1,1,1,R,R,D,169243.0,223077.0,0.137219616639,1,1.1161595
193,P000588,repstevepearce,Pearce,rep,Republican,2.0,1,1,1,R,R,D,85232.0,143514.0,0.254789154783,1,3.97044166667
194,P000197,nancypelosi,Pelosi,rep,Democrat,12.0,1,1,1,D,D,I,64810.0,274035.0,0.617465212708,1,-46.9754528333
195,P000593,repperlmutter,Perlmutter,rep,Democrat,7.0,1,1,1,D,D,R,144066.0,199758.0,0.161978221416,1,-5.230053
196,P000597,chelliepingree,Pingree,rep,Democrat,1.0,1,1,1,D,D,R,164569.0,227546.0,0.160608494957,1,-0.478423959
197,P000373,repjoepitts,Pitts,rep,Republican,16.0,1,1,1,R,R,D,134586.0,168669.0,0.112390562398,1,1.7047
198,P000592,judgetedpoe,Poe,rep,Republican,2.0,1,1,1,R,R,D,100231.0,168692.0,0.254574729569,1,3.56371333333
199,P000598,jaredpolis,Polis,rep,Democrat,2.0,1,1,1,D,D,R,170001.0,260175.0,0.209621178308,1,-2.16768
200,P000602,repmikepompeo,Pompeo,rep,Republican,4.0,1,1,1,R,R,D,81495.0,166998.0,0.34408615132,1,2.8284135
201,P000599,congbillposey,Posey,rep,Republican,8.0,1,1,1,R,R,D,127127.0,246483.0,0.319466823693,1,0.967105
202,P000523,repdavideprice,Price,rep,Democrat,4.0,1,1,1,D,D,R,130161.0,279380.0,0.364356682237,1,-75.52395
203,P000591,reptomprice,Price,rep,Republican,6.0,1,1,1,R,R,D,124917.0,201088.0,0.233649790647,1,4.08967758
204,Q000023,repmikequigley,Quigley,rep,Democrat,5.0,1,1,1,D,D,R,86222.0,212842.0,0.423387636091,1,-41.7622485714
205,R000053,cbrangel,Rangel,rep,Democrat,13.0,1,1,1,D,D,R,16089.0,207194.0,0.855886923769,1,-39.4343566667
206,R000585,reptomreed,Reed,rep,Republican,23.0,1,1,1,R,R,D,118584.0,161050.0,0.151862792078,1,-0.0255774
207,R000578,davereichert,Reichert,rep,Republican,8.0,1,1,1,R,R,D,127720.0,193145.0,0.203901952535,1,1.74934
208,R000586,repjimrenacci,Renacci,rep,Republican,16.0,1,1,1,R,R,D,119830.0,225794.0,0.306587505497,1,2.9692835
209,R000587,repribble,Ribble,rep,Republican,8.0,1,1,1,R,R,D,135682.0,227892.0,0.253620996001,1,3.31492
